id,start,end,text,emotions,situation,situation_type
1656,9658.36,9661.523,"<i>You grow so fast.
Hold your breath.</i>",['affection'],A parent or guardian is giving a gentle warning to a child.,family
1657,9664.0,9668.403,"<i>Remind me to let it out
for you tonight.</i>","['love', 'affection']",A romantic promise,Romantic
1658,9686.0,9687.843,<i>What happened with your old man?</i>,"['concern', 'curiosity']",Someone asks about someone else's father,Inquiry
1659,9687.96,9689.291,<i>What do you mean?</i>,"['curiosity', 'incredulity']",One person asks for clarification from another.,Inquiry
1660,9689.4,9692.768,"<i>That night after the fight, did he notice
anything when you got home?</i>","['concern', 'caution']",question about a fight,investigation
1661,9692.88,9695.804,"No, he'd gone to a movie
with my mom.","['surprise', 'incredulity']",Finding out someone went to a movie with your mom,betrayal
1662,9697.56,9700.086,"Wow, your sister's really cool!","['surprise', 'amusement']",Expressing admiration for someone's sister,Social Interaction
1663,9703.96,9705.45,Thanks.,['gratitude'],expressing thanks,polite interaction
1664,9705.56,9707.085,Move.,['authority'],Giving a direct order.,command
1665,9733.0,9735.287,"I found that picture
with the knife.","['concern', 'caution']",Character finds evidence of a crime,Mystery
1666,9735.4,9738.324,"She must have used it
in a love suicide.","['concern', 'seriousness']",Character speculates about someone's death,Tragic event
1667,9741.2,9745.091,"Quit staring at it.
Take it if you want.","['curiosity', 'caution']",Someone is hesitant to take an object.,Interaction
1668,9749.04,9751.964,"Hey, I talked to Horsecart!
- What for?",['curiosity'],Asking about a conversation with Horsecart,inquiry
1669,9752.08,9755.129,"I told him I'm your buddy.
He'll help us.",['confidence'],Character is reassuring someone about getting help from a friend.,Reassurance
1670,9756.28,9757.964,Stand up straight.,['authority'],Someone is being told to stand up straight.,instruction
1671,9764.2,9766.965,Don't make me repeat myself.,"['authority', 'caution']",A person is giving a warning to someone,Threat
1672,9768.48,9770.05,You got that?,"['confidence', 'authority']",One person asks for confirmation from another,question
1673,9873.56,9875.562,There's no one here.,"['caution', 'concern']",The character is expressing unease and uncertainty about being alone.,Isolation
1674,9892.0,9894.002,I knew you'd be here.,['anticipation'],The speaker expected the person to be present,Expectation
1675,9898.76,9900.888,What you told me last time...,['curiosity'],Character is recalling a previous conversation,memory recall
1676,9901.0,9903.321,did you really mean it?,"['curiosity', 'incredulity']",One person questions the sincerity of another's statement,Interpersonal
1677,9916.48,9918.767,I hope you weren't lying.,[],unknown,unknown
1678,9919.52,9921.807,I couldn't bear that.,['concern'],The speaker expresses their inability to tolerate a situation.,personal struggle
1679,9946.24,9948.049,It's Saturday again.,"['joy', 'anticipation']",The weekend has arrived,everyday life
1680,9948.64,9950.529,Want to cut class?,"['anticipation', 'excitement']",Two friends consider skipping school,social
1681,9952.6,9956.844,"No, we have all the time
in the world.","['calm', 'relief']",A character is reassuring someone that they have plenty of time.,reassurance
1682,9964.44,9966.727,<i>Spring disappears</i>,['awe'],A season changing,environmental
1683,9966.84,9968.649,<i>Without a trace</i>,['concern'],Someone or something has gone missing,Mystery
1684,9968.76,9973.846,<i>Leaving nothing behind...</i>,['nostalgia'],a character reflects on leaving something behind,reflection
1685,9984.36,9987.489,"Here for your shot?
Go over there.",['authority'],Giving directions,instruction
1686,10019.4,10021.368,Apologize to them.,"['caution', 'concern']",Giving advice on how to resolve an issue,advice
1687,10022.0,10023.525,Go on!,[],unknown,unknown
1688,10023.72,10026.564,Want me to make you?,['affection'],"One person offers to do something for another person, implying a close relationship.",personal interaction
1689,10027.36,10029.01,Motherfucker!,[],Character uses profanity,Conflict
1690,10031.24,10033.083,Is that good enough?,['concern'],The character is seeking approval.,social interaction
1691,10033.2,10035.726,Forget it. Let's go.,['caution'],Someone suggests to abandon a plan,decision
1692,10035.92,10037.888,Not a chance!,['determination'],Refusing an offer or opportunity,conflict
1693,10041.04,10043.361,"Just watch your step
from now on.","['caution', 'concern']",A warning to be careful,Advisory
1694,10053.68,10056.047,What are you so pleased about?,['curiosity'],Someone asks about another's pleased expression,query
1695,10089.8,10092.201,Fix me up with Airplane!,"['excitement', 'amusement']",The character is asking for a specific movie to be played,request
1696,10102.16,10103.81,Cat is cuter.,['amusement'],A comment is made about a cat's appearance,observation
1697,10103.92,10105.809,I want to meet Airplane!,"['excitement', 'anticipation']",The speaker is looking forward to meeting someone named Airplane.,Meeting
1698,10105.96,10107.485,I want one too!,"['excitement', 'anticipation']","A character wants something, probably a desirable object or experience.",desire
1699,10124.04,10126.964,"<i>You need to be
more aggressive on defense.</i>","['caution', 'concern']",giving advice on defense strategy,coaching
1700,10127.08,10130.482,"<i>Don't let him get by.
Next two.</i>",['determination'],Command to not let someone get past,Instruction
1701,10130.84,10134.322,"Keep your arms out on defense.
Go on.","['authority', 'caution']",Coaching on defense,Sports
1702,10190.12,10192.885,"What's your connection
to Wang Kuo-cheng?",['curiosity'],A person asks about someone else's connection to a third person,investigation
1703,10194.72,10196.563,Wang?,['curiosity'],Calling someone's name,Query
1704,10198.08,10199.65,He's...,[],The speaker is about to describe someone.,Introduction
1705,10202.24,10204.163,a classmate.,['neutral'],Referring to someone in a classroom setting,Education
1706,10204.28,10205.964,“Wang”?,['curiosity'],The speaker is inquiring about someone's name,Query
1707,10207.16,10209.527,You seem to know him well.,['curiosity'],A character shows interest in another's relationship.,social interaction
1708,10212.2,10214.407,Well... not really.,"['neutral', 'caution']",Responding to a question with hesitation,Conversation
1709,10215.76,10219.287,"I see him now and then
at class reunions.",['nostalgia'],The speaker talks about encountering someone from their past,Personal Experience
1710,10225.6,10227.09,Here.,['neutral'],A person is responding to a request.,interaction
1711,10232.64,10234.642,Write more?,['curiosity'],The speaker is asking if they should continue writing.,query
1712,10247.32,10250.563,I'll be back for it before dawn.,['determination'], Character promises to return for something,commitment
1713,10273.32,10275.641,I'm almost done.,"['anticipation', 'determination']",The speaker is close to completing a task.,Goal-oriented
1714,10276.84,10279.081,Give me a little more time.,[],unknown,unknown
1715,10280.88,10283.247,"<i>That's enough.
You can go now.</i>","['authority', 'calm']",Telling someone they can leave,directive
1716,10283.64,10285.324,<i>Hurry UP-</i>,"['urgency', 'caution']",Someone is being rushed to do something,directive
1717,10347.08,10349.97,"- Hurry up.
- My button fell off again.","['concern', 'caution']",A person is experiencing trouble with their clothing and seeks help.,Everyday situation
1718,10350.44,10353.205,"- Didn't your sister just fix it for you?
- Yes.",[],unknown,unknown
1719,10400.28,10402.123,Mrs. Zhang.,['respect'],Addressing someone with respect.,Greeting
1720,10410.48,10412.482,Do you have safety pins?,[],unknown,unknown
1721,10416.12,10418.6,You better go or you'll be late.,['concern'],Warning someone about being late,Advice
1722,10437.92,10439.922,Is my shirt ironed?,['concern'],Asking about the state of their clothing,Daily Life
1723,10447.88,10450.008,I have to go to work.,['neutral'],The character is stating their obligation to go to work.,daily life
1724,10472.68,10474.682,It's better this way.,"['relief', 'calm']",The character accepts a difficult decision,Resignation
1725,10475.96,10479.169,"They found someone at the office
to take over my work.",['relief'],The speaker's workload is being shared by someone else.,Work
1726,10479.72,10482.087,Less work means less trouble.,['caution'],Character is suggesting that doing less work will result in fewer problems.,Advice
1727,10484.2,10486.851,"You think it's related
to your interrogation?","['caution', 'concern']",Questioning about a potential connection,Interrogation
1728,10491.36,10494.967,Don't say things with no proof.,['caution'],Advising against making unsubstantiated claims,advice
1729,10498.84,10500.808,How stupid can you be?,['concern'],A character is frustrated with someone's lack of understanding,Interpersonal conflict
1730,10501.0,10504.971,"Weren't they waiting for a confession
about Wang before they'd release you?",[],unknown,unknown
1731,10506.32,10509.21,"I thought
he was trying to help us.","['concern', 'curiosity']",The speaker is doubting someone's intentions.,Doubt
1732,10510.8,10512.37,The way I see it...,"['thoughtfulness', 'neutral']",Character is about to share their perspective,Reflection
1733,10512.56,10515.211,"he was trying
to dissociate himself from you.",['concern'],Someone is trying to distance themselves from another person,relationship
1734,10515.32,10518.051,"You're too honest
to cover up his corruption.",['concern'],Accusing someone of not covering up corruption,Accusation
1735,10522.6,10524.887,What kind of crazy idea is that?,"['incredulity', 'surprise']",someone presents an unexpected idea,question
1736,10526.2,10529.363,"Didn't you go to him
while I was being held?","['concern', 'caution']",Asking about someone's actions during a difficult situation,Inquiry
1737,10530.24,10532.561,Didn't he do his best to help?,['concern'],A character is asking about someone's effort to help in a situation.,Inquiry
